time,Direction,Lead_hours,Source_time,Speed
2024-01-25 21:00:00+00:00,S,1,1706209200,9.83488
2024-01-26 00:00:00+00:00,S,1,1706220000,11.176
2024-01-26 03:00:00+00:00,W,1,1706230800,13.85824
2024-01-26 06:00:00+00:00,W,1,1706241600,17.8816
2024-01-26 09:00:00+00:00,WSW,1,1706252400,12.96416
2024-01-26 12:00:00+00:00,WSW,1,1706263200,16.09344
2024-01-26 15:00:00+00:00,SW,1,1706274000,16.09344
2024-01-26 18:00:00+00:00,SW,1,1706284800,15.19936
2024-01-26 21:00:00+00:00,WSW,1,1706295600,16.98752
2024-01-27 00:00:00+00:00,SW,1,1706306400,13.85824
2024-01-27 03:00:00+00:00,SW,1,1706317200,15.19936
2024-01-27 09:00:00+00:00,SW,1,1706338800,16.98752
2024-01-27 12:00:00+00:00,WSW,1,1706349600,12.96416
2024-01-27 15:00:00+00:00,WSW,1,1706360400,13.85824
2024-01-28 03:00:00+00:00,S,1,1706403600,12.96416
2024-01-28 06:00:00+00:00,S,1,1706414400,12.070079999999999
2024-01-28 09:00:00+00:00,S,1,1706425200,13.85824
2024-01-28 12:00:00+00:00,S,1,1706436000,16.09344
2024-01-28 18:00:00+00:00,WSW,1,1706457600,17.8816
2024-01-28 21:00:00+00:00,W,1,1706468400,15.19936
2024-01-29 00:00:00+00:00,WSW,1,1706479200,12.070079999999999
2024-01-29 03:00:00+00:00,WSW,1,1706490000,15.19936
2024-01-29 06:00:00+00:00,W,1,1706500800,9.83488
2024-01-29 09:00:00+00:00,WSW,1,1706511600,8.9408
2024-01-29 12:00:00+00:00,SW,1,1706522400,9.83488
2024-01-29 15:00:00+00:00,WSW,1,1706533200,8.04672
2024-01-29 18:00:00+00:00,SW,1,1706544000,8.04672
2024-01-29 21:00:00+00:00,SSW,1,1706554800,5.81152
2024-01-30 00:00:00+00:00,SSW,1,1706565600,5.81152
2024-01-30 03:00:00+00:00,SSW,1,1706576400,5.81152
2024-01-30 09:00:00+00:00,SSW,1,1706598000,7.15264
2024-01-30 12:00:00+00:00,SW,1,1706608800,9.83488
2024-01-30 15:00:00+00:00,SW,1,1706619600,11.176
2024-01-30 18:00:00+00:00,SW,1,1706630400,12.96416
2024-01-31 00:00:00+00:00,SW,1,1706652000,12.96416
2024-01-31 03:00:00+00:00,SSW,1,1706662800,13.85824
2024-01-31 06:00:00+00:00,S,1,1706673600,16.09344
2024-01-31 09:00:00+00:00,SSW,1,1706684400,21.90496
2024-01-31 12:00:00+00:00,W,1,1706695200,20.1168
2024-01-31 15:00:00+00:00,W,1,1706706000,21.90496
2024-01-31 18:00:00+00:00,W,1,1706716800,21.01088
2024-01-31 21:00:00+00:00,WNW,1,1706727600,21.90496
2024-02-01 06:00:00+00:00,WNW,1,1706760000,19.22272
2024-02-01 09:00:00+00:00,W,1,1706770800,12.070079999999999
2024-02-01 12:00:00+00:00,W,1,1706781600,12.96416
2024-02-01 15:00:00+00:00,WSW,1,1706792400,12.96416
2024-02-01 18:00:00+00:00,SW,1,1706803200,9.83488
2024-02-01 21:00:00+00:00,WSW,1,1706814000,13.85824
2024-02-02 03:00:00+00:00,WSW,1,1706835600,19.22272
2024-02-02 06:00:00+00:00,WSW,1,1706846400,20.1168
2024-02-02 09:00:00+00:00,WSW,1,1706857200,17.8816
2024-02-02 12:00:00+00:00,WSW,1,1706868000,20.1168
2024-02-02 15:00:00+00:00,WSW,1,1706878800,21.01088
2024-02-02 18:00:00+00:00,WSW,1,1706889600,19.22272
2024-02-02 21:00:00+00:00,W,1,1706900400,19.22272
2024-02-03 00:00:00+00:00,W,1,1706911200,17.8816
2024-02-03 03:00:00+00:00,W,1,1706922000,16.09344
2024-02-03 06:00:00+00:00,W,1,1706932800,19.22272
2024-02-03 09:00:00+00:00,W,1,1706943600,20.1168
2024-02-03 15:00:00+00:00,W,1,1706965200,21.01088
2024-02-03 21:00:00+00:00,W,1,1706986800,17.8816
2024-02-04 00:00:00+00:00,WNW,1,1706997600,20.1168
2024-02-04 03:00:00+00:00,WNW,1,1707008400,16.09344
2024-02-04 09:00:00+00:00,W,1,1707030000,17.8816
2024-02-04 12:00:00+00:00,WNW,1,1707040800,16.09344
2024-02-04 15:00:00+00:00,WNW,1,1707051600,12.070079999999999
2024-02-04 18:00:00+00:00,WNW,1,1707062400,15.19936
